Pays,Industrie,Secteur,Bourse,Nom complet,Ticker,Devise,Devise financière,Clôture précédente,Prix d’ouverture,Plus bas du jour,Plus haut du jour,Clôture précédente marché régulier,Prix actuel,Plus bas sur 52 semaines,Plus haut sur 52 semaines,Moyenne sur 50 jours,Moyenne sur 200 jours,Volume,Volume moyen,Volume moyen 10 jours,Capitalisation boursière,Actions en circulation,Pourcentage détenu institutions,Ratio cours/ventes TTM,Valeur d’entreprise,Marges bénéficiaires,Ratio cours/valeur comptable,Valeur entreprise / chiffre d’affaires,Valeur entreprise / EBITDA,Taux de dividende,Rendement du dividende,Ratio de distribution,Rendement moyen 5 ans,Valeur dernier dividende,Croissance trimestrielle bénéfices,Bénéfice net actions ordinaires,BPA historique,BPA prévisionnel,Croissance bénéfices,Croissance chiffre d’affaires,Marges brutes,Marges EBITDA,Marges opérationnelles,Rendement actifs,Rendement capitaux propres,Trésorerie totale,Trésorerie par action,Dette totale,Ratio dette/capitaux propres,Valeur comptable,Ratio liquidité immédiate,Ratio liquidité courante,Bénéfice brut,Flux de trésorerie dispo,Flux de trésorerie exploitation,Objectif prix élevé,Objectif prix bas,Prix cible moyen,Prix cible médian,Moyenne des recommandations,Recommandation clé,Nombre d’avis analystes,Dernier split,Date dernier split,Variation 52 semaines,Bêta,PER historique,PER prévisionnel,Ratio PEG historique
United Kingdom,Aerospace & Defense,Industrials,LSE,Rolls-Royce Holdings plc,RR.L,GBp,GBP,602.8,603.0,598.2,614.8,602.8,613.4,300.5,624.8,583.676,512.954,27721221,25222998,30699174,52446007296,8504900096,0.65199,2.9424376,51516641280,0.13083,N/A,2.89,20.354,N/A,N/A,N/A,1.74,1.578574,-0.065,2332000000,0.28,20.87,-0.071,0.178,0.22986001,0.142,0.13328,0.04605,N/A,4336000000,0.517,5282999808,N/A,-0.274,0.74,1.277,4096999936,1088375040,3228999936,830.0,240.00002,611.529,640.0,2.05882,buy,17,N/A,N/A,0.9501779,1.81,21.907145,2882.6543,0.5376
France,Building Products & Equipment,Industrials,PAR,Compagnie de Saint-Gobain S.A.,SGO.PA,EUR,EUR,93.58,93.52,92.4,93.9,93.58,93.58,67.09,94.36,87.2884,81.725,842594,1093621,1115995,46509260800,497000000,0.54316,1.0011896,56656846848,0.061979998,1.9510466,1.22,8.667,2.1,0.0224,0.3691,3.1,2.1,0.145,2879000064,5.69,6.94,0.163,-0.06,0.27257,0.14072,0.11472999,0.05445,0.124139994,8169999872,16.354,17613000704,72.108,47.964,0.944,1.411,12661999616,3475749888,5858999808,147.0,72.0,99.85294,99.0,1.88235,buy,17,4:1,1025136000,0.3534857,1.37,16.446398,13.670235,1.5344
Germany,Specialty Industrial Machinery,Industrials,GER,Siemens Aktiengesellschaft,SIE.DE,EUR,EUR,207.45,207.55,206.55,212.2,207.45,211.15,150.68,212.2,195.7976,179.7306,1937400,1122127,1250760,165376262144,783217024,0.41085,2.1034617,195002515456,0.103269994,3.3460104,2.48,16.466,4.7,0.0251,0.4714,3.1,5.2,0.549,7975000064,10.27,8.49,0.56,0.042,0.38854998,0.15063,0.13825,0.040799998,0.16410999,7758000128,9.83,49901998080,91.117,63.105,0.79,1.404,30548000768,3409625088,11352000512,285.0,130.0,215.83136,216.495,1.72727,buy,22,N/A,N/A,0.25620687,1.216,20.559881,17.431223,2.3157
France,Integrated Freight & Logistics,Industrials,PAR,STEF SA,STF.PA,EUR,EUR,136.4,137.0,136.9,137.8,136.4,137.0,114.2,147.0,131.472,132.061,1627,2786,2530,1717733376,12538200,0.122930005,0.37438247,2999616512,0.03592,1.4363899,0.654,7.898,5.1,0.0374,0.3932,2.76,5.1,-0.283,163596000,12.97,14.99,-0.279,0.067,0.11056,0.082770005,0.04322,0.04221,0.14362,141702000,11.342,1437078016,120.59,95.378,0.662,0.725,507264000,-42118752,311043008,166.0,152.6,158.65,158.0,1.25,strong_buy,4,4:1,1135814400,0.12913907,0.879,10.562837,9.794459,
Switzerland,Medical Instruments & Supplies,Healthcare,EBS,Straumann Holding AG,STMN.SW,CHF,CHF,126.4,126.5,124.9,126.9,126.4,125.1,103.75,151.5,120.205,119.508,250320,286402,277843,19946319872,159443008,0.37974,7.849226,20271638528,0.10651,10.132015,7.977,29.062,0.85,0.0067000003,0.4722,0.58,0.85,0.12,287880992,1.79,3.65,0.118,0.113,0.72689,0.27449,0.26563,0.10905,0.14982,333665984,2.093,453571008,23.007,12.347,1.294,2.111,1847159040,155048624,503340000,175.0,90.0,132.05263,140.0,2.52381,hold,19,10:1,1650412800,-0.096820295,1.252,69.88827,34.202007,1.0755
Japan,Conglomerates,Industrials,JPX,Sumitomo Corporation,8053.T,JPY,JPY,3380.0,3374.0,3315.0,3379.0,3380.0,3327.0,2675.5,4433.0,3328.62,3538.89,2521600,2877293,3197780,4089714835456,1209980032,0.35456002,0.57723993,7469144735744,0.05017,0.91449714,1.054,13.838,130.0,0.039300002,0.4363,4.7,65.0,-0.179,355221995520,323.72,443.29,-0.171,0.044,0.19573,0.07618,0.05291,0.023599999,0.0868,692540014592,572.357,3693828112384,80.178,3638.065,0.967,1.766,1386704011264,179479871488,464457990144,5200.0,3500.0,3982.0,3670.0,2.1,buy,10,N/A,N/A,-0.015725076,0.68,10.2774,7.5052447,
France,Oil & Gas Equipment & Services,Energy,PAR,Technip Energies N.V.,TE.PA,EUR,EUR,27.8,27.8,27.8,28.48,27.8,28.48,18.33,28.48,26.1028,23.03545,371035,322420,227985,5015356416,174344992,0.73697,0.7818658,2688441600,0.056560002,2.537872,0.419,5.45,0.57,0.020499999,0.2908,N/A,0.57,0.079,362800000,1.96,2.38,0.074,0.131,0.15207,0.0769,0.07698,0.03629,0.20376,3320100096,18.358,980700032,48.32,11.222,0.878,1.031,975500032,276875008,555400000,37.0,25.0,29.84615,29.0,1.84615,buy,13,N/A,N/A,0.49582994,0.678,14.530612,12.181664,
United States,Software - Infrastructure,Technology,NMS,"Tenable Holdings, Inc.",TENB,USD,USD,40.23,40.79,40.05,41.0,40.23,40.85,35.25,52.5,41.5596,41.9022,1180166,1017008,1559870,4889662976,119698000,0.92999,5.5716558,5052345856,-0.06816,12.1037035,5.757,335.437,N/A,N/A,N/A,N/A,N/A,N/A,-59817000,-0.31,1.45,N/A,0.127,0.77549005,0.01716,-0.00759,-0.00696,-0.15989,548449024,4.565,409744992,101.283,3.375,1.128,1.284,680563968,190431504,174862000,55.0,40.0,49.19789,50.0,2.04348,buy,19,N/A,N/A,-0.20572555,0.832,N/A,22.716404,
France,Aerospace & Defense,Industrials,PAR,Thales S.A.,HO.PA,EUR,EUR,157.6,157.9,156.45,159.1,157.6,159.1,131.45,174.5,144.622,150.9645,215245,265337,221675,32665298944,205312992,0.20278,1.7008659,37065121792,0.07247,4.4863663,1.93,15.672,3.45,0.0219,0.7375,1.99,0.85,0.568,953299968,4.62,9.49,0.594,0.089,0.26014,0.12314,0.08088,0.02743,0.12404,3817100032,18.586,8410899968,113.864,35.463,0.588,0.844,4995999744,2794362624,1443900032,195.0,160.0,178.93333,182.0,1.93333,buy,15,N/A,N/A,0.17655838,0.585,34.437233,16.65163,1.5837
Japan,Textile Manufacturing,Consumer Cyclical,JPX,"Toray Industries, Inc.",3402.T,JPY,JPY,1084.0,1070.0,1062.0,1072.0,1084.0,1071.5,633.0,1108.5,1017.044,848.1045,5806900,5985831,6253340,1692723576832,1579769984,0.38898998,0.6613937,2496513441792,0.01897,0.9941833,0.975,9.369,18.0,0.0166,0.5948,2.23,9.0,0.921,48554000384,30.22,67.66,0.92,0.056,0.19094999,0.104119994,0.06313,0.025039999,0.03186,220698001408,137.749,888954028032,48.357,1077.769,0.981,1.85,488706998272,23505750016,235633000448,1300.0,870.0,1079.091,1100.0,1.8,buy,11,N/A,N/A,0.5657952,0.739,35.456654,15.8365345,
Japan,Conglomerates,Industrials,JPX,Toyota Tsusho Corporation,8015.T,JPY,JPY,2519.5,2508.0,2495.0,2528.0,2519.5,2520.0,2122.0,3545.0,2659.94,2812.8533,1108500,1715233,1966480,2660288430080,1055670016,0.30542,0.26288304,4112943153152,0.03313,1.0782465,0.406,6.715,100.0,0.0379,0.3171,3.09,50.0,0.008,335234007040,320.54,351.85,0.008,-0.027,0.10616,0.06053,0.051090002,0.04152,0.13919,851222986752,806.338,2035848970240,77.527,2337.128,1.008,1.634,1074330992640,256652623872,499524009984,4400.0,2400.0,3246.6667,2900.0,2.57143,hold,6,3:1,1719446400,-0.17904854,1.022,7.861733,7.1621428,
Switzerland,Banks - Diversified,Financial Services,EBS,UBS Group AG,UBSG.SW,CHF,USD,30.42,30.39,30.22,30.6,30.42,30.31,22.53,32.88,29.4276,27.4955,4281948,6119294,8015083,96229097472,3174830080,0.55565,2.0384498,140002607104,0.09573,1.1095655,2.966,N/A,0.64,0.02,0.5469,2.72,0.9,N/A,4519000064,1.37,1.93,N/A,0.067,N/A,N/A,0.24806,0.0028,0.052849997,535826989056,168.197,573992009728,N/A,27.317,N/A,N/A,47206998016,N/A,37033000960,44.5,21.0,30.94375,31.5,2.64706,hold,16,N/A,N/A,0.2416327,0.995,22.124086,10.648801,
France,REIT - Retail,Real Estate,PAR,Unibail-Rodamco-Westfield SE,URW.PA,EUR,EUR,81.1,81.54,81.5,82.32,81.1,81.82,64.22,82.58,75.2192,75.0977,210570,307147,341218,11730450432,142630000,0.32946998,3.9467232,38745128960,-0.34305,0.74826014,13.036,23.719,2.5,0.0308,N/A,N/A,2.5,N/A,-1019600000,-7.34,N/A,N/A,0.056,0.61641,0.54959,0.55965,0.018660001,-0.050869998,4620199936,33.152,28538599424,138.641,109.347,1.11,1.227,1832099968,-195812496,2051900032,117.0,65.0,87.3,85.1,2.35714,buy,14,3:1,992390400,0.12047529,2.067,N/A,8.629609,
France,Waste Management,Industrials,PAR,Veolia Environnement SA,VIE.PA,EUR,EUR,27.78,27.81,27.62,27.96,27.78,27.64,26.18,31.6,27.2882,28.76195,1855885,1860745,2141383,20180903936,730134016,0.60624003,0.45110098,41784926208,0.023810001,2.280528,0.934,8.036,1.25,0.045,0.85620004,3.47,1.25,0.245,1086000000,1.46,2.08,0.215,-0.027,0.17075,0.11623,0.07091,0.025139999,0.10241,9658000384,13.508,29191999488,202.469,12.12,0.782,0.892,7639000064,532449984,4902000128,45.3,29.9,35.54118,35.0,1.70588,buy,17,N/A,N/A,-0.05025643,1.138,18.931505,12.271518,0.7286
France,Engineering & Construction,Industrials,PAR,Vinci SA,DG.PA,EUR,EUR,109.85,109.85,107.6,110.15,109.85,108.2,96.26,120.62,101.0458,104.87275,1000078,940114,1021427,60871696384,562585024,0.32869,0.8525806,93488742400,0.06454,2.1637402,1.309,8.137,4.5,0.040999997,0.5338,3.24,1.05,-0.045,4608000000,8.43,8.84,-0.052,0.046,0.17054,0.16093001,0.10425,0.042969998,0.15708,13429999616,23.483,39471001600,118.81,50.006,0.633,0.843,12176000000,7301000192,11436000256,150.0,109.0,134.48096,134.0,1.57143,buy,21,2:1,1179360000,-0.054484427,0.979,12.835112,11.41626,3.6496
United States,Discount Stores,Consumer Defensive,NYQ,Walmart Inc.,WMT,USD,USD,101.15,101.95,101.25,102.93,101.15,102.9,55.84667,103.11,94.0344,78.19935,10993735,16999821,14935130,826635845632,8033390080,0.35561,1.242996,736540164096,0.02339,9.882828,1.108,18.062,0.83,0.0099,0.4141,1.52,0.208,-0.43,15552000000,2.42,2.72,-0.423,0.048,0.24628,0.06132,0.04689,0.069510005,0.18531999,8810999808,1.096,63146000384,69.566,10.412,0.183,0.803,163785998336,7701374976,33881999360,115.0,58.0,101.37711,100.5,1.54762,buy,38,3:1,1708905600,0.7818556,0.516,42.52066,37.238625,3.0469
Switzerland,Insurance - Diversified,Financial Services,EBS,Zurich Insurance Group AG,ZURN.SW,CHF,USD,563.4,562.4,562.4,567.8,563.4,567.4,430.7,567.8,546.648,505.4395,145007,293166,254506,81699930112,143990000,0.41454,1.061631,67474649088,0.06348,3.393074,0.877,3.584,26.0,0.0461,0.8496,5.34,26.0,0.214,4885000192,30.25,37.55,0.228,0.073,0.32431,0.24464001,0.14029999,0.03319,0.20692,29718999040,206.049,14487000064,56.667,167.223,6.171,10.072,24957999104,2239000064,7888999936,610.0,430.0,537.30927,545.0,3.17647,hold,17,N/A,N/A,0.30326164,0.57,18.757025,14.4513645,0.7965
